31788;0;-15,82;;sample
31822;90;-15,82;81,5;
31856;90;-14,73;81,5;34
31890;90;-19,64;81,5;34
31924;90;-20,12;81,5;34
31958;90;-8,56;81,5;34
31992;90;-8,56;81,5;34
32026;90;-8,56;81,5;34
32060;90;14,48;81,5;34
32094;90;21,37;81,5;34
32128;90;34,8;81,5;34
32161;90;35;81,5;33
32195;90;36,61;81,5;34
32229;90;33,24;81,5;34
32264;90;33,24;81,5;35
32297;90;48,94;81,5;33
32331;90;43,97;81,5;34
32365;90;43,92;81,5;34
32399;90;52,96;81,5;34
32433;90;51,94;81,5;34
32467;90;47,95;81,5;34
32501;90;72,1;81,8;34
32535;90;73,76;82,04;34
32569;90;62,81;81,5;34
32603;90;74,47;82,14;34
32636;90;74,47;82,14;33
32671;90;86,21;83,82;35
32705;90;84,85;83,62;34
32739;90;85,28;83,68;34
32773;90;85,55;83,72;34
32806;90;84,43;83,56;33
32840;90;85,44;83,71;34
32875;90;85,44;83,71;35
32909;90;78,88;82,77;34
32943;90;80,72;83,03;34
32976;90;94,9;97,34;33
33010;90;94,9;97,34;34
33044;90;86,21;83,82;34
33079;90;79,4;82,84;35
33113;90;79,27;82,82;34
33146;90;79,27;82,82;33
33180;90;92,18;96,84;34
33214;90;80,39;82,98;34
33248;90;80,39;82,98;34
33283;90;82,12;83,23;35
33316;90;95,06;97,37;33
33350;90;93,77;97,18;34
33384;90;97,17;97,67;34
33418;90;85,6;83,73;34
33453;90;95,48;97,43;35
33486;90;82,39;83,27;33
33520;90;82,39;83,27;34
33554;90;84,01;83,5;34
33589;90;81,52;83,15;35
33623;90;81,52;83,15;34
33656;90;99,18;97,96;33
33690;90;94,11;97,23;34
33724;90;95,25;97,39;34
33759;90;95,25;97,39;35
33793;90;99,94;98,06;34
33826;90;83,8;83,47;33
33860;90;86,37;83,84;34
33894;90;95,55;97,44;34
33929;90;91,95;96,72;35
33963;90;88,54;84,52;34
33996;90;88,54;84,52;33
34030;90;91,03;96,26;34
34064;90;92,65;97,02;34
34098;90;89,21;84,85;34
